name,price,change,detail_url
RISE 글로벌게임테크TOP3Plus,"10,065",상승 40,https://riseetf.co.kr/prod/finderDetail/44J5
RISE 미국고배당다우존스TOP10,"10,150",-,https://riseetf.co.kr/prod/finderDetail/44J6
RISE AI전력인프라,"13,470",하락 -135,https://riseetf.co.kr/prod/finderDetail/44J3
RISE 차이나테크TOP10위클리타겟커버드콜,"10,800",상승 205,https://riseetf.co.kr/prod/finderDetail/44J1
RISE 코리아밸류업위클리고정커버드콜,"12,580",상승 190,https://riseetf.co.kr/prod/finderDetail/44J2
RISE 엔비디아고정테크100,"11,455",상승 95,https://riseetf.co.kr/prod/finderDetail/44I9
RISE AI반도체TOP10,"16,755",상승 125,https://riseetf.co.kr/prod/finderDetail/44J0
RISE 단기특수은행채액티브,"50,480",상승 10,https://riseetf.co.kr/prod/finderDetail/44I8
RISE 테슬라고정테크100,"14,280",상승 220,https://riseetf.co.kr/prod/finderDetail/44I6
RISE 팔란티어고정테크100,"14,290",상승 95,https://riseetf.co.kr/prod/finderDetail/44I7
RISE 미국천연가스밸류체인,"10,325",상승 95,https://riseetf.co.kr/prod/finderDetail/44I4
RISE 미국휴머노이드로봇,"15,870",상승 375,https://riseetf.co.kr/prod/finderDetail/44I5
RISE 인도디지털성장,"10,430",하락 -25,https://riseetf.co.kr/prod/finderDetail/44H4
RISE 미국양자컴퓨팅,"17,595",상승 620,https://riseetf.co.kr/prod/finderDetail/44I3
RISE 테슬라미국채타겟커버드콜혼합(합성),"10,165",상승 45,https://riseetf.co.kr/prod/finderDetail/44I1
RISE 미국은행TOP10,"11,530",상승 165,https://riseetf.co.kr/prod/finderDetail/44I2
RISE 미국S&P500엔화노출(합성 H),"11,327",상승 42,https://riseetf.co.kr/prod/finderDetail/44H9
RISE 바이오TOP10액티브,"14,690",하락 -110,https://riseetf.co.kr/prod/finderDetail/44I0
RISE 코리아금융고배당,"14,970",상승 545,https://riseetf.co.kr/prod/finderDetail/44H8
RISE 미국AI테크액티브,"14,200",상승 455,https://riseetf.co.kr/prod/finderDetail/44H6
RISE 코리아밸류업,"16,710",상승 330,https://riseetf.co.kr/prod/finderDetail/44H7
