name,price,change,detail_url,number,item_name,item_code,base_price,ratio,value,industry_info,industry_frequency,industry_source,industry_update_date,parsed_date
RISE 코리아밸류업위클리고정커버드콜,"12,720",상승 395,https://riseetf.co.kr/prod/finderDetail/44J2,25,HMM,KR7011200003,217,0.69,"4,383,400",Freight Index: BDI(Baltic Dry Index) (일)-Baltic Dry Index,DAILY,언론보도 취합,2025-11-11,2025-11-11
RISE 코리아밸류업위클리고정커버드콜,"12,720",상승 395,https://riseetf.co.kr/prod/finderDetail/44J2,32,코웨이,KR7021240007,38,0.55,"3,473,200",코웨이 국내 환경가전사업 현황 (분기)-국내 렌탈 계정현황,QUARTER,코웨이 IR,2025-11-07,2025-11-07
RISE 코리아밸류업위클리고정커버드콜,"12,720",상승 395,https://riseetf.co.kr/prod/finderDetail/44J2,33,한진칼,KR7180640005,33,0.53,"3,395,700",인천국제공항 여객 통계: 전체 (월)-전체 여객,MONTHLY,인천국제공항,2025-11-07,2025-11-07
RISE 코리아밸류업위클리고정커버드콜,"12,720",상승 395,https://riseetf.co.kr/prod/finderDetail/44J2,99,케이카,KR7381970003,10,0.02,"157,700",한국 수입차 판매: 브랜드별 (월)-한국 수입차 판매 계,MONTHLY,"각 사 보도자료, 한국수입자동차협회",2025-11-10,2025-11-10
RISE 코리아밸류업,"16,915",상승 545,https://riseetf.co.kr/prod/finderDetail/44H7,24,HMM,KR7011200003,312,0.75,"6,302,400",Freight Index: BDI(Baltic Dry Index) (일)-Baltic Dry Index,DAILY,언론보도 취합,2025-11-11,2025-11-11
RISE 코리아밸류업,"16,915",상승 545,https://riseetf.co.kr/prod/finderDetail/44H7,32,코웨이,KR7021240007,50,0.54,"4,570,000",코웨이 국내 환경가전사업 현황 (분기)-국내 렌탈 계정현황,QUARTER,코웨이 IR,2025-11-07,2025-11-07
RISE 코리아밸류업,"16,915",상승 545,https://riseetf.co.kr/prod/finderDetail/44H7,33,한진칼,KR7180640005,43,0.52,"4,424,700",인천국제공항 여객 통계: 전체 (월)-전체 여객,MONTHLY,인천국제공항,2025-11-07,2025-11-07
RISE 코리아밸류업,"16,915",상승 545,https://riseetf.co.kr/prod/finderDetail/44H7,98,케이카,KR7381970003,12,0.02,"189,240",한국 수입차 판매: 브랜드별 (월)-한국 수입차 판매 계,MONTHLY,"각 사 보도자료, 한국수입자동차협회",2025-11-10,2025-11-10
RISE 글로벌원자력,"40,775","상승 1,475",https://riseetf.co.kr/prod/finderDetail/44D6,17,산일전기,KR7062040001,141,1.05,"20,825,700",산일전기 수주현황 (분기)-신규수주,QUARTER,IR자료,2025-11-05,2025-11-05
RISE 플랫폼테마,"7,495",상승 125,https://riseetf.co.kr/prod/finderDetail/44C9,10,갤럭시아머니트리,KR7094480001,745,4.6,"6,906,150",신용카드 이용건수 및 금액 (월)-이용건수,MONTHLY,한국은행,2025-11-10,2025-11-10
RISE 컨택트대표,"7,200",상승 180,https://riseetf.co.kr/prod/finderDetail/44B8,18,아시아나항공,KR7020560009,401,2.4,"3,448,600",인천국제공항 여객 통계: 전체 (월)-전체 여객,MONTHLY,인천국제공항,2025-11-07,2025-11-07
RISE 5G테크,"20,795",상승 740,https://riseetf.co.kr/prod/finderDetail/44A7,18,와이솔,KR7122990005,387,0.21,"2,186,550","베트남 IT제품 수출 금액 (월)-Telephones, mobile phones and parts thereof",MONTHLY,베트남 관세청,2025-11-06,2025-11-06
RISE IT플러스,"24,015",상승 660,https://riseetf.co.kr/prod/finderDetail/4496,15,엔씨소프트,KR7036570000,21,0.99,"4,767,000",엔씨소프트 게임별 매출액 (분기)-리니지,QUARTER,엔씨소프트 IR,2025-11-11,2025-11-11
RISE IT플러스,"24,015",상승 660,https://riseetf.co.kr/prod/finderDetail/4496,60,카카오게임즈,KR7293490009,42,0.15,"698,040","카카오게임즈 부문별 매출액 (분기)-PC 게임(검은사막, 배틀그라운드 외)",QUARTER,카카오게임즈 IR,2025-11-05,2025-11-05
RISE 내수주플러스,"10,335",상승 120,https://riseetf.co.kr/prod/finderDetail/4497,1,한국전력,KR7015760002,400,8.97,"18,500,000",해외건설 수주통계: 업체별 (주)-전체,WEEKLY,국토교통부,2025-11-10,2025-11-10
RISE 내수주플러스,"10,335",상승 120,https://riseetf.co.kr/prod/finderDetail/4497,10,코웨이,KR7021240007,71,3.15,"6,489,400",코웨이 국내 환경가전사업 현황 (분기)-국내 렌탈 계정현황,QUARTER,코웨이 IR,2025-11-07,2025-11-07
RISE 내수주플러스,"10,335",상승 120,https://riseetf.co.kr/prod/finderDetail/4497,58,스튜디오드래곤,KR7253450001,18,0.35,"726,300",스튜디오드래곤 주요 드라마 라인업 (분기)-스튜디오드래곤,QUARTER,스튜디오드래곤,2025-11-06,2025-11-06
RISE 코스피,"42,205","상승 1,245",https://riseetf.co.kr/prod/finderDetail/4489,13,한화오션,KR7042660001,198,1.22,"25,660,800",탱커 신조선가 (주)-VLCC(320K),WEEKLY,한국해양진흥공사,2025-11-10,2025-11-10
RISE 코스피,"42,205","상승 1,245",https://riseetf.co.kr/prod/finderDetail/4489,20,한국전력,KR7015760002,421,0.92,"19,471,250",해외건설 수주통계: 업체별 (주)-전체,WEEKLY,국토교통부,2025-11-10,2025-11-10
RISE 코스피,"42,205","상승 1,245",https://riseetf.co.kr/prod/finderDetail/4489,27,삼성중공업,KR7010140002,570,0.73,"15,418,500",탱커 신조선가 (주)-VLCC(320K),WEEKLY,한국해양진흥공사,2025-11-10,2025-11-10
RISE 코스피,"42,205","상승 1,245",https://riseetf.co.kr/prod/finderDetail/4489,30,HMM,KR7011200003,669,0.64,"13,513,800",Freight Index: BDI(Baltic Dry Index) (일)-Baltic Dry Index,DAILY,언론보도 취합,2025-11-11,2025-11-11
RISE 코스피,"42,205","상승 1,245",https://riseetf.co.kr/prod/finderDetail/4489,68,HD현대미포,KR7010620003,26,0.26,"5,538,000",탱커 신조선가 (주)-VLCC(320K),WEEKLY,한국해양진흥공사,2025-11-10,2025-11-10
RISE 코스피,"42,205","상승 1,245",https://riseetf.co.kr/prod/finderDetail/4489,79,카카오페이,KR7377300009,88,0.21,"4,532,000",신용카드 이용건수 및 금액 (월)-이용건수,MONTHLY,한국은행,2025-11-10,2025-11-10
RISE 코스피,"42,205","상승 1,245",https://riseetf.co.kr/prod/finderDetail/4489,80,한진칼,KR7180640005,41,0.2,"4,218,900",인천국제공항 여객 통계: 전체 (월)-전체 여객,MONTHLY,인천국제공항,2025-11-07,2025-11-07
RISE 코스피,"42,205","상승 1,245",https://riseetf.co.kr/prod/finderDetail/4489,83,삼성카드,KR7029780004,77,0.19,"4,004,000",신용카드 이용건수 및 금액 (월)-이용건수,MONTHLY,한국은행,2025-11-10,2025-11-10
RISE 코스피,"42,205","상승 1,245",https://riseetf.co.kr/prod/finderDetail/4489,84,코웨이,KR7021240007,44,0.19,"4,021,600",코웨이 국내 환경가전사업 현황 (분기)-국내 렌탈 계정현황,QUARTER,코웨이 IR,2025-11-07,2025-11-07
RISE 코스피,"42,205","상승 1,245",https://riseetf.co.kr/prod/finderDetail/4489,92,엔씨소프트,KR7036570000,15,0.16,"3,405,000",엔씨소프트 게임별 매출액 (분기)-리니지,QUARTER,엔씨소프트 IR,2025-11-11,2025-11-11
RISE 코스피,"42,205","상승 1,245",https://riseetf.co.kr/prod/finderDetail/4489,100,산일전기,KR7062040001,20,0.14,"2,954,000",산일전기 수주현황 (분기)-신규수주,QUARTER,IR자료,2025-11-05,2025-11-05
RISE 코스피,"42,205","상승 1,245",https://riseetf.co.kr/prod/finderDetail/4489,144,대한조선,KR7439260001,25,0.07,"1,505,000",탱커 신조선가 (주)-VLCC(320K),WEEKLY,한국해양진흥공사,2025-11-10,2025-11-10
RISE 코스피,"42,205","상승 1,245",https://riseetf.co.kr/prod/finderDetail/4489,159,팬오션,KR7028670008,356,0.06,"1,363,480",Freight Index: BDI(Baltic Dry Index) (일)-Baltic Dry Index,DAILY,언론보도 취합,2025-11-11,2025-11-11
RISE 코스피,"42,205","상승 1,245",https://riseetf.co.kr/prod/finderDetail/4489,187,아시아나항공,KR7020560009,134,0.05,"1,152,400",인천국제공항 여객 통계: 전체 (월)-전체 여객,MONTHLY,인천국제공항,2025-11-07,2025-11-07
RISE 코스피,"42,205","상승 1,245",https://riseetf.co.kr/prod/finderDetail/4489,227,코오롱모빌리티그룹,KR7450140009,45,0.03,"590,850",한국 수입차 판매: 브랜드별 (월)-한국 수입차 판매 계,MONTHLY,"각 사 보도자료, 한국수입자동차협회",2025-11-10,2025-11-10
RISE 코스피,"42,205","상승 1,245",https://riseetf.co.kr/prod/finderDetail/4489,252,NICE,KR7034310003,25,0.02,"359,500",신용카드 이용건수 및 금액 (월)-이용건수,MONTHLY,한국은행,2025-11-10,2025-11-10
RISE 코스피,"42,205","상승 1,245",https://riseetf.co.kr/prod/finderDetail/4489,273,대한해운,KR7005880000,212,0.02,"392,200",Freight Index: BDI(Baltic Dry Index) (일)-Baltic Dry Index,DAILY,언론보도 취합,2025-11-11,2025-11-11
RISE 코스피,"42,205","상승 1,245",https://riseetf.co.kr/prod/finderDetail/4489,283,코오롱,KR7002020006,9,0.02,"426,600",한국 수입차 판매: 브랜드별 (월)-한국 수입차 판매 계,MONTHLY,"각 사 보도자료, 한국수입자동차협회",2025-11-10,2025-11-10
RISE 코스피,"42,205","상승 1,245",https://riseetf.co.kr/prod/finderDetail/4489,297,케이카,KR7381970003,31,0.02,"488,870",한국 수입차 판매: 브랜드별 (월)-한국 수입차 판매 계,MONTHLY,"각 사 보도자료, 한국수입자동차협회",2025-11-10,2025-11-10
RISE 코스피,"42,205","상승 1,245",https://riseetf.co.kr/prod/finderDetail/4489,314,쿠쿠홈시스,KR7284740008,15,0.02,"357,000",코웨이 국내 환경가전사업 현황 (분기)-국내 렌탈 계정현황,QUARTER,코웨이 IR,2025-11-07,2025-11-07
RISE 코스피,"42,205","상승 1,245",https://riseetf.co.kr/prod/finderDetail/4489,351,흥아해운,KR7003280005,160,0.01,"270,880",Freight Index: BDI(Baltic Dry Index) (일)-Baltic Dry Index,DAILY,언론보도 취합,2025-11-11,2025-11-11
RISE 코스피,"42,205","상승 1,245",https://riseetf.co.kr/prod/finderDetail/4489,394,한국공항,KR7005430004,2,0.01,"118,800",인천국제공항 여객 통계: 전체 (월)-전체 여객,MONTHLY,인천국제공항,2025-11-07,2025-11-07
RISE 코스피,"42,205","상승 1,245",https://riseetf.co.kr/prod/finderDetail/4489,436,KSS해운,KR7044450005,15,0.01,"136,350",Freight Index: BDI(Baltic Dry Index) (일)-Baltic Dry Index,DAILY,언론보도 취합,2025-11-11,2025-11-11
RISE 코스피,"42,205","상승 1,245",https://riseetf.co.kr/prod/finderDetail/4489,703,인터지스,KR7129260006,20,-,"51,600",Freight Index: BDI(Baltic Dry Index) (일)-Baltic Dry Index,DAILY,언론보도 취합,2025-11-11,2025-11-11
RISE 게임테마,"8,080",상승 320,https://riseetf.co.kr/prod/finderDetail/4488,2,엔씨소프트,KR7036570000,170,9.58,"38,590,000",엔씨소프트 게임별 매출액 (분기)-리니지,QUARTER,엔씨소프트 IR,2025-11-11,2025-11-11
RISE 게임테마,"8,080",상승 320,https://riseetf.co.kr/prod/finderDetail/4488,6,카카오게임즈,KR7293490009,"1,811",7.47,"30,098,820","카카오게임즈 부문별 매출액 (분기)-PC 게임(검은사막, 배틀그라운드 외)",QUARTER,카카오게임즈 IR,2025-11-05,2025-11-05
RISE 200TR,"32,535",상승 970,https://riseetf.co.kr/prod/finderDetail/44A5,22,삼성중공업,KR7010140002,565,0.94,"15,283,250",탱커 신조선가 (주)-VLCC(320K),WEEKLY,한국해양진흥공사,2025-11-10,2025-11-10
RISE 200TR,"32,535",상승 970,https://riseetf.co.kr/prod/finderDetail/44A5,27,한화오션,KR7042660001,97,0.77,"12,571,200",탱커 신조선가 (주)-VLCC(320K),WEEKLY,한국해양진흥공사,2025-11-10,2025-11-10
RISE 200TR,"32,535",상승 970,https://riseetf.co.kr/prod/finderDetail/44A5,28,한국전력,KR7015760002,269,0.76,"12,441,250",해외건설 수주통계: 업체별 (주)-전체,WEEKLY,국토교통부,2025-11-10,2025-11-10
RISE 200TR,"32,535",상승 970,https://riseetf.co.kr/prod/finderDetail/44A5,53,HMM,KR7011200003,267,0.33,"5,393,400",Freight Index: BDI(Baltic Dry Index) (일)-Baltic Dry Index,DAILY,언론보도 취합,2025-11-11,2025-11-11
RISE 200TR,"32,535",상승 970,https://riseetf.co.kr/prod/finderDetail/44A5,62,코웨이,KR7021240007,47,0.26,"4,295,800",코웨이 국내 환경가전사업 현황 (분기)-국내 렌탈 계정현황,QUARTER,코웨이 IR,2025-11-07,2025-11-07
RISE 200TR,"32,535",상승 970,https://riseetf.co.kr/prod/finderDetail/44A5,63,HD현대미포,KR7010620003,20,0.26,"4,260,000",탱커 신조선가 (주)-VLCC(320K),WEEKLY,한국해양진흥공사,2025-11-10,2025-11-10
RISE 200TR,"32,535",상승 970,https://riseetf.co.kr/prod/finderDetail/44A5,65,한진칼,KR7180640005,40,0.25,"4,116,000",인천국제공항 여객 통계: 전체 (월)-전체 여객,MONTHLY,인천국제공항,2025-11-07,2025-11-07
RISE 200TR,"32,535",상승 970,https://riseetf.co.kr/prod/finderDetail/44A5,73,엔씨소프트,KR7036570000,15,0.21,"3,405,000",엔씨소프트 게임별 매출액 (분기)-리니지,QUARTER,엔씨소프트 IR,2025-11-11,2025-11-11
RISE 200TR,"32,535",상승 970,https://riseetf.co.kr/prod/finderDetail/44A5,118,카카오페이,KR7377300009,24,0.08,"1,236,000",신용카드 이용건수 및 금액 (월)-이용건수,MONTHLY,한국은행,2025-11-10,2025-11-10
